Gene	b152eca9-ed2b-4508-a01d-51f6f198563a_C	fc7d5222-3324-4678-8f57-fc8100164188_C	f17ad0a0-0881-4e81-bcbe-fb99c56266c4_C	1d950340-c0fe-481d-8cda-a58efe2d77cc_T	009a308f-6806-4131-aaf8-d018a424c882_T	f196b382-eed5-4bb2-aa3f-f3014d369dbf_T
ENSG00000000003.15	47.24232376	27.15290857	51.02406645	36.34584173	32.73612174	36.29486933
ENSG00000000005.6	4.838086993	1.830184129	9.833853868	2.250509224	2.081552677	0.855855744
ENSG00000000419.12	27.25201356	28.70713924	35.76881471	30.06110058	44.52837314	29.62325723
ENSG00000000457.14	5.416676399	4.938869484	9.077862735	9.424003108	13.731941	8.773574242
ENSG00000000460.17	0.664151359	1.507545768	2.561097215	3.246728344	4.391784963	3.817973036
ENSG00000000938.13	3.864063368	10.82653822	2.506317671	3.847792939	4.002082531	8.168709902
ENSG00000000971.16	4.41855048	25.40707849	15.47779035	10.15490455	5.61384732	24.54011766
ENSG00000001036.14	20.08613821	34.84474811	19.94439145	25.90247587	40.14292299	23.43303649
ENSG00000001084.13	8.544373396	8.328271572	10.03798715	9.028271476	10.50971094	6.704530046
ENSG00000001167.14	20.98327106	27.38119707	35.48103525	31.00484132	34.4208392	39.35879944
